Date,Author,Title,title_note,Outlet,Link,review_period
08/26/19,James Temple,Whoops! California’s carbon offsets program could extend the life of coal mines,,MIT Technology Review,https://climate.mit.edu/posts/whoops-californias-carbon-offsets-program-could-extend-life-coal-mines,3
06/02/20,Steve Baragona,Forest Losses Increased in 2019 to Third-Largest This Century,,Voice of America,https://www.voanews.com/science-health/forest-losses-increased-2019-third-largest-century,3
06/22/20,Matt McGrath,Climate change: Planting new forests ‘can do more harm than good,,BBC News,https://www.bnnbloomberg.ca/forestry-giant-discovers-downside-of-planting-millions-of-trees-1.1454338,3
06/22/20,,,Live interview,BBC4 The World Tonight,https://www.dropbox.com/s/s2z0h8ygj0jxmmx/bbc4_theWorldTonight.mp4?dl=0,3
06/22/20,,,Live interview,BBC World Services,https://www.dropbox.com/s/jtlruujnng5iqn8/bbc_world_services.wav?dl=0,3
06/22/20,Laura Millan Lombrana,Forestry Giant discovers downside of planting millions of trees,,Bloomberg News Network,https://www.bloomberg.com/news/articles/2020-06-22/forestry-giant-discovers-downside-of-planting-millions-of-trees,3
06/22/20,Erik Kobayashi-Solomon,One trillion trees is not enough,,Forbes,https://www.forbes.com/sites/erikkobayashisolomon/2020/06/22/one-trillion-trees-is-not-enough/?sh=544c16282747,3
06/25/20,Jeff Goodell,Why planting trees won't save us,,Rolling Stone,https://www.rollingstone.com/politics/politics-features/tree-planting-wont-stop-climate-crisis-1020500/,3
12/25/20,Gary Hughes,Monoculture plantation expansion threatens native forests and climate goals,,KPFA Terra Verde,https://kpfa.org/episode/terra-verde-december-25-2020/,3
12/23/20,John C. Cannon,Soy moratorium averted New Jersey-size loss of Amazon rainforest: Study,,Mongabay,https://news.mongabay.com/2020/12/soy-moratorium-averted-new-jersey-size-loss-of-amazon-rainforest-study/,3
02/25/21,Jacob Dykes,Deforestation in Brazil is 182% higher than the legal target – can international pressure stop Bolsonaro?,,Geographical,https://geographical.co.uk/places/forests/item/3979-deforestation-in-brazil-is-182-higher-than-the-legal-target-can-international-pressure-stop-bolsonaro,3
03/23/21,Hans Nicholas Jong,"In Indonesia, pulp and paper firms stoke demand that may drive deforestation",,Mongabay,"https://news.mongabay.com/2021/03/indonesia-pulp-paper-new-investment-demand-deforestation/#:~:text=In%20Indonesia%2C%20pulp%20and%20paper%20firms%20stoke%20demand%20that%20may%20drive%20deforestation,-by%20Hans%20Nicholas&text=Pulp%20and%20paper%20companies%20are,plantations%20to%20increase%20their%20production.",3
